Token          N°Docs
a1             1    
a12            1    
a13            1    
a33            1    
a5             1    
ability        1    
abnormal       1    
about          1    
absence        1    
absolutely     1    
abuse          1    
academy        1    
access         1    
accessed       1    
accessible     1    
achieve        1    
across         1    
act            1    
action         1    
actress        1    
actually       1    
addition       1    
address        1    
addressed      1    
addressing     1    
adequately     1    
admitted       1    
advances       1    
adverse        1    
advocates      1    
affairs        1    
affect         1    
after          1    
against        1    
agencies       1    
agreed         1    
agreement      1    
aids           1    
aimed          1    
alan           1    
alert          1    
all            2    
alliance       1    
allow          1    
also           1    
although       1    
am             1    
amend          1    
american       1    
americans      1    
among          1    
amounts        1    
an             1    
analyzing      1    
and            1    
another        2    
antiviral      1    
any            1    
appeals        1    
applications   1    
appreciate     1    
approach       1    
appropriate    1    
approved       1    
april          1    
are            3    
arena          1    
arkansas       1    
as             1    
ask            1    
assessment     1    
assistance     1    
associated     1    
association    1    
associations   1    
assuring       1    
at             1    
attached       1    
attempt        1    
attempting     1    
attempts       1    
attorneys      1    
audit          1    
auditors       1    
authority      1    
automated      1    
automation     1    
avoid          1    
award          1    
azt            1    
back           1    
baker          1    
balance        1    
bar            1    
barker         1    
barriers       1    
based          1    
be             1    
became         1    
because        1    
become         1    
becomes        1    
been           1    
before         1    
behalf         1    
being          1    
believe        1    
believed       1    
believes       1    
benefit        1    
benefits       1    
bennett        1    
between        1    
big            1    
bill           1    
bills          1    
blood          1    
blue           1    
bolan          1    
boston         1    
both           1    
bound          1    
bout           1    
breach         1    
breaches       1    
brelis         1    
build          1    
bureau         1    
business       1    
but            1    
buttressing    1    
by             1    
called         1    
campaign       1    
can            1    
candid         1    
cannot         1    
care           1    
case           1    
cdt            1    
center         1    
central        1    
ceos           1    
chairman       1    
changes        1    
changing       1    
chemical       1    
cigna          1    
cincinnati     1    
cir            1    
circuit        1    
city           1    
civil          1    
claim          1    
clerk          1    
clerks         1    
clinic         1    
clinical       1    
closely        1    
co-sponsored   1    
co-workers     1    
coalitions     1    
code           1    
collection     1    
colorado       1    
columbia       1    
com            1    
coming         1    
commend        1    
commissioner   1    
committee      1    
common         1    
communications 1    
community      1    
companies      1    
company        1    
comply         1    
component      1    
compound       1    
comprehensive  1    
compromised    1    
computer       1    
computerization1    
computerized   1    
computerizing  1    
computers      1    
concede        1    
concerns       1    
concluded      1    
conclusion     1    
condit         1    
conference     1    
confidence     1    
confidential   1    
confidentiality1    
conflict       1    
conform        1    
confusion      1    
congress       1    
congressional  1    
congresswoman  1    
consensus      1    
consent        1    
consequences   1    
consideration  1    
constitutional 1    
consumer       1    
contact        1    
contained      1    
containing     1    
content        1    
contents       1    
continue       1    
continued      1    
contracts      1    
control        1    
controls       1    
copy           1    
cornell        1    
cornerstones   1    
corporation    1    
correct        1    
cost           1    
costly         1    
costs          1    
could          1    
council        1    
counselors     1    
country        1    
county         1    
course         1    
court          1    
cout           1    
coverage       1    
cracks         1    
crafting       1    
craig          1    
create         1    
created        1    
creation       1    
criminal       1    
critical       1    
cross          1    
csce           1    
cumbersome     1    
current        1    
currently      1    
d-ny           1    
d-vt           1    
d-wa           1    
d20            1    
danger         1    
daschle        1    
data           1    
database       1    
databases      1    
daughter       1    
deal           1    
debilitating   1    
december       1    
decision       1    
dedicated      1    
degrees        1    
demand         1    
demanded       1    
demands        1    
democracy      1    
democratic     1    
demotion       1    
denied         1    
department     2    
dependents     1    
depending      1    
depression     1    
deputy         1    
deserve        1    
design         1    
designed       3    
despite        1    
detailed       1    
detailing      1    
details        1    
determine      1    
determined     1    
develop        1    
developed      1    
development    1    
diagnosis      1    
different      1    
differing      1    
difficult      1    
difficulty     1    
dime           1    
dire           1    
direct         1    
director       1    
disappearing   1    
disastrous     1    
disclose       1    
disclosed      1    
disclosure     1    
disclosures    1    
discovered     1    
discussed      1    
disease        1    
disguised      1    
dissenting     1    
distance       1    
distances      1    
distribution   1    
doctor         1    
doctor-patient 1    
doctors        1    
doe            1    
dole           1    
don            1    
donald         1    
dr             1    
drive          1    
drug           1    
due            1    
during         1    
each           1    
easier         1    
easily         1    
editorials     1    
edu            1    
effective      1    
efficiency     1    
efforts        1    
eight          1    
eighty-five    1    
either         1    
electronic     1    
elephants      1    
embodied       1    
embrace        1    
emerging       1    
employee       1    
employees      1    
employer       1    
employers      1    
employment     1    
enact          1    
enacting       1    
enactment      1    
encourage      1    
end            1    
enforceable    1    
enforcement    1    
engage         1    
english        1    
enhance        1    
enhancing      1    
enough         1    
ensure         1    
ensuring       1    
entering       1    
entin          1    
entitled       1    
entity         1    
environment    1    
environments   1    
equifax        1    
eroding        1    
error          1    
errors         1    
escape         1    
essential      1    
establish      1    
established    1    
establishes    1    
ethical        1    
evaporates     1    
even           1    
evil           1    
exacerbate     1    
exacerbates    1    
example        1    
excessive      1    
existing       1    
exists         1    
expanded       1    
expectation    1    
expected       1    
expensive      1    
expert         1    
experts        1    
exponentially  1    
extent         1    
facilitate     1    
fact           1    
fail           1    
fails          1    
failure        1    
fair           1    
fall           1    
false          1    
favored        1    
faxed          1    
fear           1    
fearing        1    
federal        1    
feingold       1    
few            1    
fiduciary      1    
field          1    
figures        1    
file           3    
filed          1    
files          1    
filing         1    
finally        1    
finance        1    
financial      1    
findings       1    
florida        1    
flow           1    
focus          1    
focused        1    
following      1    
footnotes      1    
for            2    
forced         1    
form           1    
forming        1    
forms          1    
forward        1    
foster         1    
found          1    
foundation     1    
framework      1    
fraud          1    
frawley        1    
fredric        1    
free           1    
frist          1    
from           1    
front-end      1    
full           1    
future         1    
gary           1    
gauch          2    
gave           1    
georgetown     1    
gimpel         1    
given          1    
globe          1    
gmail          1    
go             1    
goal           1    
goals          1    
gold           1    
goldman        1    
gostin         1    
governed       1    
governing      1    
government     1    
governments    1    
grams          1    
great          1    
gregg          1    
group          1    
grow           1    
grows          1    
guaranteed     1    
guard          1    
guidelines     1    
h20            1    
had            1    
handle         1    
hands          1    
harassment     1    
harm           1    
harmed         1    
harms          1    
harris         1    
harvard        1    
has            4    
hatch          1    
have           1    
having         1    
he             1    
health         1    
hearing        1    
hearings       1    
heath          1    
held           1    
her            1    
highly         1    
himself        1    
histories      1    
hiv            1    
hold           1    
home           2    
honest         1    
hope           1    
horn           1    
horror         1    
hospital       1    
house          1    
how            2    
however        1    
html           1    
http           1    
human          1    
hunter         1    
ibm            1    
id             1    
identifiable   1    
identifiably   1    
if             2    
ii             1    
iii            1    
images         1    
impact         1    
impacts        1    
imperative     1    
important      1    
imposed        1    
improper       1    
improperly     1    
improved       1    
in             4    
inc            1    
include        1    
including      1    
incomplete     1    
incorporated   1    
increase       1    
increasing     1    
indeed         1    
